wrinkles_severity,acne_severity,dark_circle_severity,pigmentation,redness,dark_spots,_combination,_dry,_normal,_oily,_sensitive,_brown,_dark,_fair,_medium,_olive,product_recommendation_clean
6.0,5.002123786407767,10.0,7.0,4.981562595497606,5.019419419419419,0,0,0,1,0,0,0,0,1,0,['facewash']
9.0,2.0,6.0,10.0,10.0,5.019419419419419,1,0,0,0,0,0,1,0,0,0,['sunscreen']
4.0,3.0,7.0,7.0,2.0,5.0,0,0,1,0,0,0,0,1,0,0,['sunscreen']
4.0,1.0,7.0,5.0,1.0,4.0,1,0,0,0,0,0,1,0,0,0,['moisturizer']
0.0,9.0,4.952218430034129,8.0,0.0,10.0,0,0,0,0,1,1,0,0,0,0,"['toner', 'facewash']"
10.0,9.0,2.0,6.0,3.0,8.0,0,0,0,1,0,0,0,0,0,1,['serum']
2.0,4.0,2.0,6.0,4.981562595497606,8.0,0,0,1,0,0,0,0,1,0,0,['toner']
6.0,1.0,3.0,8.0,1.0,9.0,0,0,1,0,0,0,1,0,0,0,['sunscreen']
8.0,9.0,4.0,1.0,3.0,6.0,0,1,0,0,0,0,0,1,0,0,['facewash']
3.0,1.0,5.0,5.0,9.0,3.0,0,0,0,1,0,0,1,0,0,0,['moisturizer']
5.0,5.002123786407767,9.0,1.0,9.0,3.0,1,0,0,0,0,0,0,0,1,0,['toner']
7.0,6.0,8.0,7.0,4.0,1.0,1,0,0,0,0,0,0,0,1,0,"['sunscreen', 'serum']"
8.0,6.0,8.0,7.0,0.0,7.0,1,0,0,0,0,0,0,1,0,0,['serum']
7.0,10.0,2.0,0.0,7.0,2.0,0,0,1,0,0,0,1,0,0,0,['facewash']
2.0,0.0,10.0,5.05958994041006,4.981562595497606,6.0,0,1,0,0,0,0,0,1,0,0,['moisturizer']
9.0,8.0,6.0,8.0,7.0,5.019419419419419,0,0,0,1,0,0,1,0,0,0,"['sunscreen', 'serum']"
7.0,5.0,10.0,2.0,0.0,2.0,0,0,0,1,0,0,0,1,0,0,['serum']
4.0,2.0,0.0,4.0,9.0,5.019419419419419,0,0,0,1,0,0,0,1,0,0,['sunscreen']
