wrinkles_severity,acne_severity,dark_circle_severity,pigmentation,skin_type,skin_tone,redness,dark_spots,product_recommendation
6,,10,7,oily,medium,,,['facewash']
9,2,6,10, COMBINATION, Dark,10,,['sunscreen']
4,3,7,7, norml ,,2,5,['sunscreen']
4,1,7,5,,dark,1,4,['moisturizer']
0,9,,8,sensitive,brown,0,10,"['toner', 'facewash']"
10,9,2,6,oily,olive,3,8,['serum']
2,4,2,6,norml,FAIR,,8,['toner']
6,1,3,8,NORML, Dark,1,9,['sunscreen']
8,9,4,1,Dry,FAIR,3,6,face wash
7,2,0,3,combination,FAIR,1,7,
3,1,5,5,oily,dark,9,3,moistrzr
5,,9,1, COMBINATION,medium,9,3,['toner']
7,6,8,7, COMBINATION,medum,4,1,"['sunscreen', 'serum']"
4,7,9,8,, Dark,8,0,
8,6,8,7, COMBINATION,FAIR,0,7,serumm
7,10,2,0,norml,  Dark ,7,2,face wash
2,0,10,,DRY,fair,,6,['moisturizer']
9,8,6,8,OILY, Dark,7,,"['sunscreen', 'serum']"
0,6,6,7,,medum,4,2,
7,5,10,2,oily,,0,2,serumm
4,2,0,4,OILY,FAIR,9,,['sunscreen']
6,10,8,9, COMBINATION,  Dark ,9,2,"['toner', 'facewash']"
6,0,3,,OILY,,4,6,['moisturizer']
,,3,6,normal,fair,10,2,moistrzr
5,1,9,8,NORMAL,olive,4,5,['sunscreen']
3,,9,6,,brown,8,6,['toner']
,0,8,10, COMBINATION,fair,8,3,
8,2,6,5,  COMBINATION ,dark,7,10,['moisturizer']
8,4,0,2,,FAIR,,7,serumm
10,5,7,8,Dry,,3,0,"['sunscreen', 'moisturizer']"
0,9,3,6,,medum,1,2,"['toner', 'facewash']"
0,4,0,7, COMBINATION,FAIR,0,10,['toner']
0,1,1,5,,medum,6,4,['toner']
0,0,2,1,Dry, DARK,4,9,['moisturizer']
5,6,3,,normal,dark,10,7,
10,0,5,7, dry , dark ,4,3,"['sunscreen', 'moisturizer', 'serum']"
1,5,5,10,  COMBINATION ,BROWN,0,,['sunscreen']
10,5,2,3,normal,medium,10,3,['serum']
2,9,2,2,yrD,brown,3,6,face wash
3,8,0,7,dry, Dark,6,1,"['toner', 'facewash', 'moisturizer', 'sunscreen']"
7,0,10,8,sensitive,,8,1,"['sunscreen', 'serum']"
6,9,2,,OILY,medium,9,8,moistrzr
3,0,1,0,dry,medium,4,4,['moisturizer']
10,6,8,8,oily, Dark,2,2,"['sunscreen', 'serum']"
2,3,7,5, COMBINATION, Dark,7,0,
7,3,10,0, COMBINATION,BROWN,,3,['toner']
